Ref_Date,Month,WPI_Inflation
2026-04-01,APR-26,8.3
2026-03-01,MAR-26,3.88
2026-02-01,FEB-26,2.26
2026-01-01,JAN-26,1.68
2025-12-01,DEC-25,0.96
2025-11-01,NOV-25,-0.13
2025-10-01,OCT-25,-1.02
2025-09-01,SEP-25,0.19
2025-08-01,AUG-25,0.52
2025-07-01,JUL-25,-0.58
2025-06-01,JUN-25,-0.19
2025-05-01,MAY-25,0.13
2025-04-01,APR-25,0.85
2025-03-01,MAR-25,2.25
2025-02-01,FEB-25,2.45
2025-01-01,JAN-25,2.51
2024-12-01,DEC-24,2.57
2024-11-01,NOV-24,2.16
2024-10-01,OCT-24,2.75
2024-09-01,SEP-24,1.91
2024-08-01,AUG-24,1.25
2024-07-01,JUL-24,2.1
2024-06-01,JUN-24,3.43
2024-05-01,MAY-24,2.74
2024-04-01,APR-24,1.19
2024-03-01,MAR-24,0.26
2024-02-01,FEB-24,0.2
2024-01-01,JAN-24,0.33
2023-12-01,DEC-23,0.86
2023-11-01,NOV-23,0.39
2023-10-01,OCT-23,-0.26
2023-09-01,SEP-23,-0.07
2023-08-01,AUG-23,-0.46
2023-07-01,JUL-23,-1.23
2023-06-01,JUN-23,-4.18
2023-05-01,MAY-23,-3.61
2023-04-01,APR-23,-0.79
2023-03-01,MAR-23,1.41
2023-02-01,FEB-23,3.85
2023-01-01,JAN-23,4.8
2022-12-01,DEC-22,5.02
2022-11-01,NOV-22,6.12
2022-10-01,OCT-22,8.67
2022-09-01,SEP-22,10.55
2022-08-01,AUG-22,12.48
2022-07-01,JUL-22,14.07
2022-06-01,JUN-22,16.23
2022-05-01,MAY-22,16.63
2022-04-01,APR-22,15.38
2022-03-01,MAR-22,14.63
2022-02-01,FEB-22,13.43
2022-01-01,JAN-22,13.68
2021-12-01,DEC-21,14.27
2021-11-01,NOV-21,14.87
2021-10-01,OCT-21,13.83
2021-09-01,SEP-21,11.8
2021-08-01,AUG-21,11.64
2021-07-01,JUL-21,11.57
2021-06-01,JUN-21,12.07
2021-05-01,MAY-21,13.11
2021-04-01,APR-21,10.74
2021-03-01,MAR-21,7.89
2021-02-01,FEB-21,4.83
2021-01-01,JAN-21,2.51
2020-12-01,DEC-20,1.95
2020-11-01,NOV-20,2.29
2020-10-01,OCT-20,1.31
2020-09-01,SEP-20,1.32
2020-08-01,AUG-20,0.41
2020-07-01,JUL-20,-0.25
2020-06-01,JUN-20,-1.81
2020-05-01,MAY-20,-3.37
2020-04-01,APR-20,-1.57
2020-03-01,MAR-20,0.42
2020-02-01,FEB-20,2.26
2020-01-01,JAN-20,3.52
2019-12-01,DEC-19,2.76
2019-11-01,NOV-19,0.58
2019-10-01,OCT-19,0.0
2019-09-01,SEP-19,0.33
2019-08-01,AUG-19,1.17
2019-07-01,JUL-19,1.17
2019-06-01,JUN-19,2.02
2019-05-01,MAY-19,2.79
2019-04-01,APR-19,3.24
2019-03-01,MAR-19,3.1
2019-02-01,FEB-19,2.93
2019-01-01,JAN-19,2.76
2018-12-01,DEC-18,3.46
2018-11-01,NOV-18,4.47
2018-10-01,OCT-18,5.54
2018-09-01,SEP-18,5.22
2018-08-01,AUG-18,4.62
2018-07-01,JUL-18,5.27
2018-06-01,JUN-18,5.68
2018-05-01,MAY-18,4.78
2018-04-01,APR-18,3.62
2018-03-01,MAR-18,2.74
2018-02-01,FEB-18,2.74
2018-01-01,JAN-18,3.02
2017-12-01,DEC-17,3.58
2017-11-01,NOV-17,4.02
2017-10-01,OCT-17,3.68
2017-09-01,SEP-17,3.14
2017-08-01,AUG-17,3.24
2017-07-01,JUL-17,1.88
2017-06-01,JUN-17,0.9
2017-05-01,MAY-17,2.26
2017-04-01,APR-17,3.85
2017-03-01,MAR-17,5.11
2017-02-01,FEB-17,5.51
2017-01-01,JAN-17,4.26
2016-12-01,DEC-16,2.1
2016-11-01,NOV-16,1.82
2016-10-01,OCT-16,1.27
2016-09-01,SEP-16,1.36
2016-08-01,AUG-16,1.09
2016-07-01,JUL-16,0.63
2016-06-01,JUN-16,-0.09
2016-05-01,MAY-16,-0.9
2016-04-01,APR-16,-1.09
2016-03-01,MAR-16,-2.0
2016-02-01,FEB-16,-2.28
2016-01-01,JAN-16,-2.53
2015-12-01,DEC-15,-2.41
2015-11-01,NOV-15,-3.68
2015-10-01,OCT-15,-4.76
2015-09-01,SEP-15,-5.58
2015-08-01,AUG-15,-6.14
2015-07-01,JUL-15,-4.8
2015-06-01,JUN-15,-2.95
2015-05-01,MAY-15,-2.96
2015-04-01,APR-15,-3.42
2015-03-01,MAR-15,-3.85
2015-02-01,FEB-15,-3.52
2015-01-01,JAN-15,-2.46
2014-12-01,DEC-14,-1.15
2014-11-01,NOV-14,-0.17
2014-10-01,OCT-14,0.87
2014-09-01,SEP-14,1.84
2014-08-01,AUG-14,3.81
2014-07-01,JUL-14,4.95
2014-06-01,JUN-14,4.63
2014-05-01,MAY-14,5.71
2014-04-01,APR-14,5.06
2014-03-01,MAR-14,5.25
2014-02-01,FEB-14,4.8
2014-01-01,JAN-14,5.19
2013-12-01,DEC-13,5.88
2013-11-01,NOV-13,6.52
2013-10-01,OCT-13,6.7
2013-09-01,SEP-13,6.23
2013-08-01,AUG-13,5.61
2013-07-01,JUL-13,4.71
2013-06-01,JUN-13,4.56
2013-05-01,MAY-13,3.13
2013-04-01,APR-13,3.72
2013-03-01,MAR-13,8.6
2013-02-01,FEB-13,8.4
2013-01-01,JAN-13,8.0
2012-12-01,DEC-12,7.1
2012-11-01,NOV-12,7.3
2012-10-01,OCT-12,7.4
2012-09-01,SEP-12,7.6
2012-08-01,AUG-12,6.9
