Ref_Date,Month,WPI_Inflation_Current,WPI_Inflation_Lag1,WPI_Inflation_Lag2,CPI_Inflation_Current
01-01-2014,Jan-14,5.19,NULL,NULL,8.6
01-02-2014,Feb-14,4.8,5.19,NULL,7.88
01-03-2014,Mar-14,5.25,4.8,5.19,8.25
01-04-2014,Apr-14,5.06,5.25,4.8,8.48
01-05-2014,May-14,5.71,5.06,5.25,8.33
01-06-2014,Jun-14,4.63,5.71,5.06,6.77
01-07-2014,Jul-14,4.95,4.63,5.71,7.39
01-08-2014,Aug-14,3.81,4.95,4.63,7.03
01-09-2014,Sep-14,1.84,3.81,4.95,5.63
01-10-2014,Oct-14,0.87,1.84,3.81,4.62
01-11-2014,Nov-14,-0.17,0.87,1.84,3.27
01-12-2014,Dec-14,-1.15,-0.17,0.87,4.28
01-01-2015,Jan-15,-2.46,-1.15,-0.17,5.19
01-02-2015,Feb-15,-3.52,-2.46,-1.15,5.37
01-03-2015,Mar-15,-3.85,-3.52,-2.46,5.25
01-04-2015,Apr-15,-3.42,-3.85,-3.52,4.87
01-05-2015,May-15,-2.96,-3.42,-3.85,5.01
01-06-2015,Jun-15,-2.95,-2.96,-3.42,5.4
01-07-2015,Jul-15,-4.8,-2.95,-2.96,3.69
01-08-2015,Aug-15,-6.14,-4.8,-2.95,3.74
01-09-2015,Sep-15,-5.58,-6.14,-4.8,4.41
01-10-2015,Oct-15,-4.76,-5.58,-6.14,5
01-11-2015,Nov-15,-3.68,-4.76,-5.58,5.41
01-12-2015,Dec-15,-2.41,-3.68,-4.76,5.61
01-01-2016,Jan-16,-2.53,-2.41,-3.68,5.69
01-02-2016,Feb-16,-2.28,-2.53,-2.41,5.26
01-03-2016,Mar-16,-2,-2.28,-2.53,4.83
01-04-2016,Apr-16,-1.09,-2,-2.28,5.47
01-05-2016,May-16,-0.9,-1.09,-2,5.76
01-06-2016,Jun-16,-0.09,-0.9,-1.09,5.77
01-07-2016,Jul-16,0.63,-0.09,-0.9,6.07
01-08-2016,Aug-16,1.09,0.63,-0.09,5.05
01-09-2016,Sep-16,1.36,1.09,0.63,4.39
01-10-2016,Oct-16,1.27,1.36,1.09,4.2
01-11-2016,Nov-16,1.82,1.27,1.36,3.63
01-12-2016,Dec-16,2.1,1.82,1.27,3.41
01-01-2017,Jan-17,4.26,2.1,1.82,3.17
01-02-2017,Feb-17,5.51,4.26,2.1,3.65
01-03-2017,Mar-17,5.11,5.51,4.26,3.89
01-04-2017,Apr-17,3.85,5.11,5.51,2.99
01-05-2017,May-17,2.26,3.85,5.11,2.18
01-06-2017,Jun-17,0.9,2.26,3.85,1.46
01-07-2017,Jul-17,1.88,0.9,2.26,2.36
01-08-2017,Aug-17,3.24,1.88,0.9,3.28
01-09-2017,Sep-17,3.14,3.24,1.88,3.28
01-10-2017,Oct-17,3.68,3.14,3.24,3.58
01-11-2017,Nov-17,4.02,3.68,3.14,4.88
01-12-2017,Dec-17,3.58,4.02,3.68,5.21
01-01-2018,Jan-18,3.02,3.58,4.02,5.07
01-02-2018,Feb-18,2.74,3.02,3.58,4.44
01-03-2018,Mar-18,2.74,2.74,3.02,4.28
01-04-2018,Apr-18,3.62,2.74,2.74,4.58
01-05-2018,May-18,4.78,3.62,2.74,4.87
01-06-2018,Jun-18,5.68,4.78,3.62,4.92
01-07-2018,Jul-18,5.27,5.68,4.78,4.17
01-08-2018,Aug-18,4.62,5.27,5.68,3.69
01-09-2018,Sep-18,5.22,4.62,5.27,3.7
01-10-2018,Oct-18,5.54,5.22,4.62,3.38
01-11-2018,Nov-18,4.47,5.54,5.22,2.33
01-12-2018,Dec-18,3.46,4.47,5.54,2.11
01-01-2019,Jan-19,2.76,3.46,4.47,1.97
01-02-2019,Feb-19,2.93,2.76,3.46,2.57
01-03-2019,Mar-19,3.1,2.93,2.76,2.86
01-04-2019,Apr-19,3.24,3.1,2.93,2.99
01-05-2019,May-19,2.79,3.24,3.1,3.05
01-06-2019,Jun-19,2.02,2.79,3.24,3.18
01-07-2019,Jul-19,1.17,2.02,2.79,3.15
01-08-2019,Aug-19,1.17,1.17,2.02,3.28
01-09-2019,Sep-19,0.33,1.17,1.17,3.99
01-10-2019,Oct-19,0,0.33,1.17,4.62
01-11-2019,Nov-19,0.58,0,0.33,5.54
01-12-2019,Dec-19,2.76,0.58,0,7.35
01-01-2020,Jan-20,3.52,2.76,0.58,7.59
01-02-2020,Feb-20,2.26,3.52,2.76,6.58
01-03-2020,Mar-20,0.42,2.26,3.52,5.84
01-04-2020,Apr-20,-1.57,0.42,2.26,7.22
01-05-2020,May-20,-3.37,-1.57,0.42,6.27
01-06-2020,Jun-20,-1.81,-3.37,-1.57,6.23
01-07-2020,Jul-20,-0.25,-1.81,-3.37,6.73
01-08-2020,Aug-20,0.41,-0.25,-1.81,6.69
01-09-2020,Sep-20,1.32,0.41,-0.25,7.27
01-10-2020,Oct-20,1.31,1.32,0.41,7.61
01-11-2020,Nov-20,2.29,1.31,1.32,6.93
01-12-2020,Dec-20,1.95,2.29,1.31,4.59
01-01-2021,Jan-21,2.51,1.95,2.29,4.06
01-02-2021,Feb-21,4.83,2.51,1.95,5.03
01-03-2021,Mar-21,7.89,4.83,2.51,5.52
01-04-2021,Apr-21,10.74,7.89,4.83,4.23
01-05-2021,May-21,13.11,10.74,7.89,6.3
01-06-2021,Jun-21,12.07,13.11,10.74,6.26
01-07-2021,Jul-21,11.57,12.07,13.11,5.59
01-08-2021,Aug-21,11.64,11.57,12.07,5.3
01-09-2021,Sep-21,11.8,11.64,11.57,4.35
01-10-2021,Oct-21,13.83,11.8,11.64,4.48
01-11-2021,Nov-21,14.87,13.83,11.8,4.91
01-12-2021,Dec-21,14.27,14.87,13.83,5.66
